iter	Logloss
0	0.6521158691
1	0.6201797315
2	0.6038084658
3	0.5839037597
4	0.5653672452
5	0.5492604803
6	0.5344977163
7	0.5240316594
8	0.5138980794
9	0.5049842782
10	0.4987979602
11	0.4930334293
12	0.4878474572
13	0.4834396394
14	0.4790026053
15	0.475126724
16	0.473649593
17	0.4720146884
18	0.4700899848
19	0.4680499761
20	0.4661336834
21	0.4647408509
22	0.4645419424
23	0.464272303
24	0.4638389642
25	0.4631253382
26	0.4614244116
27	0.4604904048
28	0.4593675699
29	0.4578670657
30	0.4569969822
31	0.4554935905
32	0.4551259017
33	0.4550174151
34	0.4540493177
35	0.4533951523
36	0.4525633703
37	0.4517315068
38	0.4515971811
39	0.45067701
40	0.4500339537
41	0.4494137077
42	0.4490442552
43	0.4487269248
44	0.4487234835
45	0.4487234766
46	0.4483186387
47	0.4473883431
48	0.4471243374
49	0.4470200515
50	0.4459077624
51	0.4458310398
52	0.4454844411
53	0.4450408213
54	0.444618304
55	0.4440343388
56	0.4435958863
57	0.442822449
58	0.442822447
59	0.442640425
60	0.442640424
61	0.4413438119
62	0.4410901222
63	0.440690911
64	0.439410995
65	0.4390445085
66	0.4387605649
67	0.4378567297
68	0.437562806
69	0.437305926
70	0.4361780725
71	0.4361780723
72	0.4358175508
73	0.4351923898
74	0.4349415777
75	0.4346969332
76	0.4345548739
77	0.4333231749
78	0.4323128099
79	0.4314133082
80	0.4310825039
81	0.4304712897
82	0.4298769765
83	0.4297395744
84	0.4297395572
85	0.4292659625
86	0.4282638242
87	0.4271254491
88	0.427051547
89	0.4264181857
90	0.4254087333
91	0.4248970425
92	0.4239536839
93	0.4232301301
94	0.4222017475
95	0.4210760258
96	0.420938697
97	0.4201875256
98	0.4188988347
99	0.4182067827
100	0.4180074653
101	0.4174003332
102	0.4167148574
103	0.4163651255
104	0.416058287
105	0.4158056676
106	0.415478378
107	0.4151015121
108	0.414787658
109	0.4145979291
110	0.4139474101
111	0.4130150369
112	0.4118983783
113	0.4117696419
114	0.410679762
115	0.4097888751
116	0.4086514829
117	0.4083404542
118	0.4075954563
119	0.4074294401
120	0.4067089198
121	0.405831126
122	0.4050284783
123	0.4045168705
124	0.4035815233
125	0.4032616865
126	0.4025647518
127	0.4008552343
128	0.3998291966
129	0.3991734086
130	0.3989050026
131	0.3982629419
132	0.3982042497
133	0.3976122418
134	0.3971862598
135	0.396277719
136	0.3957845077
137	0.3952529754
138	0.3941544538
139	0.3939434315
140	0.3933667807
141	0.3932594399
142	0.3928960705
143	0.3923088028
144	0.3918530341
145	0.39153035
146	0.3906445997
147	0.3897056105
148	0.389448096
149	0.3891439979
150	0.3885630258
151	0.3880070611
152	0.3873161534
153	0.3872760524
154	0.3868646805
155	0.3867081786
156	0.3863665124
157	0.3863394246
158	0.3858558897
159	0.3852867733
160	0.3848412883
161	0.3842564514
162	0.3839980126
163	0.3835126234
164	0.383362062
165	0.3828486457
166	0.3825562137
167	0.3821437744
168	0.3813535541
169	0.3809451213
170	0.380485838
171	0.3800311784
172	0.3797179268
173	0.3794707184
174	0.3791486255
175	0.378611433
176	0.3780946816
177	0.3775711311
